neighborhood,crime_count
Treasure Island,195
Lincoln Park / Ft. Miley,207
Presidio National Park,230
Westwood Highlands,458
Monterey Heights,665
Sherwood Forest,904
McLaren Park,1000
Midtown Terrace,1065
St. Francis Wood,1092
Forest Knolls,1131
Seacliff,1292
Balboa Terrace,1365
Forest Hill,1668
Clarendon Heights,1943
Candlestick Point SRA,2008
Little Hollywood,2044
Lake Street,2234
Presidio Terrace,2265
Mt. Davidson Manor,2408
Ingleside Terraces,2581
Ashbury Heights,2609
Merced Manor,2816
Parnassus Heights,2864
Corona Heights,2945
Peralta Heights,3003
India Basin,3026
Westwood Park,3069
Diamond Heights,3583
Laguna Honda,3764
Miraloma Park,3819
Yerba Buena Island,3870
St. Marys Park,4063
Cole Valley,4183
Telegraph Hill,4409
Mint Hill,4442
Upper Market,4459
Sutro Heights,4522
University Mound,4548
Cow Hollow,4777
Presidio Heights,4807
Fairmount,5253
Apparel City,5509
Glen Park,5520
West Portal,5542
Laurel Heights / Jordan Park,5568
Aquatic Park / Ft. Mason,5796
Produce Market,5955
Lakeshore,6317
Central Waterfront,6465
Anza Vista,6638
Holly Park,6691
Dogpatch,6740
Alamo Square,7230
Outer Mission,7526
Merced Heights,7693
Eureka Valley,8024
Rincon Hill,8312
Golden Gate Heights,9133
Sunnyside,10201
Lone Mountain,10423
Mission Bay,10433
Parkmerced,10845
Buena Vista,10897
Stonestown,11170
South Beach,11897
Crocker Amazon,12342
Northern Waterfront,12713
Showplace Square,12796
Dolores Heights,12816
Panhandle,12847
Japantown,12864
Oceanview,12931
Ingleside,12971
Hayes Valley,13312
Sunnydale,13428
Union Street,13561
Noe Valley,13810
Cayuga,14296
Polk Gulch,14480
Lower Pacific Heights,14699
Inner Sunset,15227
Hunters Point,15960
Mission Terrace,17022
Lower Haight,17466
Castro,17485
Visitacion Valley,17659
Duboce Triangle,17682
Bret Harte,18749
Haight Ashbury,19233
Parkside,19457
Chinatown,19960
Russian Hill,20138
Nob Hill,20300
Golden Gate Park,22467
Portola,23116
Marina,23134
Excelsior,23987
Cathedral Hill,25203
Silver Terrace,26797
Outer Richmond,26967
Fishermans Wharf,28116
Bernal Heights,30852
North Beach,31062
Pacific Heights,31182
Inner Richmond,31186
Mission Dolores,34614
Financial District,35905
Outer Sunset,41696
Western Addition,46129
Lower Nob Hill,50858
Potrero Hill,53941
Civic Center,57782
Bayview,61419
Downtown / Union Square,77558
Mission,182788
Tenderloin,186468
South of Market,287692
