neighborhood,crime_count
McLaren Park,0
Bret Harte,0
Mint Hill,0
India Basin,0
Outer Sunset,0
Rincon Hill,0
Excelsior,0
University Mound,0
Mission Dolores,0
Diamond Heights,0
Cathedral Hill,0
South Beach,0
St. Francis Wood,0
Marina,0
Mission Bay,0
Lower Haight,0
Sunnyside,0
Outer Mission,0
Corona Heights,0
Downtown / Union Square,0
Holly Park,0
Buena Vista,0
Aquatic Park / Ft. Mason,0
Lincoln Park / Ft. Miley,0
Outer Richmond,0
Haight Ashbury,0
Laguna Honda,0
Parkmerced,0
Showplace Square,0
Mt. Davidson Manor,0
Ingleside Terraces,0
Fairmount,0
Pacific Heights,0
Glen Park,0
Presidio National Park,0
Lower Pacific Heights,0
Japantown,0
Golden Gate Heights,0
Presidio Heights,0
North Beach,0
Central Waterfront,0
Panhandle,0
Alamo Square,0
Sutro Heights,0
Oceanview,0
Lower Nob Hill,0
Western Addition,0
Merced Heights,0
Nob Hill,0
Stonestown,0
Union Street,0
Bernal Heights,0
South of Market,0
Midtown Terrace,0
Dogpatch,0
Portola,0
Northern Waterfront,0
Duboce Triangle,0
Silver Terrace,0
Chinatown,0
Treasure Island,0
Upper Market,0
Forest Knolls,0
Telegraph Hill,0
Cole Valley,0
Civic Center,0
Anza Vista,0
Miraloma Park,0
Hunters Point,0
Balboa Terrace,0
Bayview,0
Westwood Park,0
Peralta Heights,0
Financial District,0
Little Hollywood,0
Ashbury Heights,0
Polk Gulch,0
Visitacion Valley,0
Merced Manor,0
Inner Sunset,0
West Portal,0
Lone Mountain,0
Yerba Buena Island,0
Cayuga,0
Hayes Valley,0
Lake Street,0
Mission Terrace,0
Golden Gate Park,0
St. Marys Park,0
Cow Hollow,0
Laurel Heights / Jordan Park,0
Seacliff,0
Apparel City,0
Parnassus Heights,0
Castro,0
Sherwood Forest,0
Sunnydale,0
Inner Richmond,0
Crocker Amazon,0
Tenderloin,0
Candlestick Point SRA,0
Clarendon Heights,0
Eureka Valley,0
Parkside,0
Fishermans Wharf,0
Monterey Heights,0
Russian Hill,0
Lakeshore,0
Westwood Highlands,0
Produce Market,0
Potrero Hill,0
Forest Hill,0
Mission,0
Noe Valley,0
Dolores Heights,0
Presidio Terrace,0
Ingleside,0
