station_id,station_name,neighborhood
45,Commercial at Montgomery,Financial District
74,Steuart at Market,Financial District
77,Market at Sansome,Financial District
56,Beale at Market,Financial District
50,Harry Bridges Plaza (Ferry Building),Financial District
75,Mechanics Plaza (Market at Battery),Financial District
41,Clay at Battery,Financial District
51,Embarcadero at Folsom,Financial District
65,Townsend at 7th,Showplace Square
60,Embarcadero at Sansome,Northern Waterfront
82,Broadway St at Battery St,Northern Waterfront
42,Davis at Jackson,Northern Waterfront
48,Embarcadero at Vallejo,Northern Waterfront
64,2nd at South Park,South Beach
61,2nd at Townsend,South Beach
54,Embarcadero at Bryant,Rincon Hill
58,San Francisco City Hall,Civic Center
59,Golden Gate at Polk,Civic Center
62,2nd at Folsom,Rincon Hill
49,Spear at Folsom,Rincon Hill
46,Washington at Kearney,Chinatown
70,San Francisco Caltrain (Townsend at 4th),Mission Bay
69,San Francisco Caltrain 2 (330 Townsend),Mission Bay
68,Yerba Buena Center of the Arts (3rd @ Howard),South of Market
55,Temporary Transbay Terminal (Howard at Beale),South of Market
76,Market at 4th,South of Market
90,5th St at Folsom St,South of Market
67,Market at 10th,South of Market
72,Civic Center BART (7th at Market),South of Market
63,Howard at 2nd,South of Market
66,South Van Ness at Market,South of Market
57,5th at Howard,South of Market
91,Cyril Magnin St at Ellis St,Downtown / Union Square
73,Grant Avenue at Columbus Avenue,North Beach
71,Powell at Post (Union Square),Downtown / Union Square
39,Powell Street BART,Downtown / Union Square
47,Post at Kearney,Downtown / Union Square
