neighborhood,average_response_time
Alamo Square,0-0 0 0:7:50.559120
Polk Gulch,0-0 0 0:7:50.623536
Cole Valley,0-0 0 0:7:52.258241
Lower Nob Hill,0-0 0 0:8:0.711960
Panhandle,0-0 0 0:8:3.686437
Inner Richmond,0-0 0 0:8:3.747800
Mission,0-0 0 0:8:5.414174
Haight Ashbury,0-0 0 0:8:6.688046
Western Addition,0-0 0 0:8:7.157042
Westwood Park,0-0 0 0:8:8.154702
Duboce Triangle,0-0 0 0:8:8.208646
Pacific Heights,0-0 0 0:8:9.064464
Mission Dolores,0-0 0 0:8:14.169814
Japantown,0-0 0 0:8:15.632766
Lower Haight,0-0 0 0:8:16.358174
Hayes Valley,0-0 0 0:8:17.537347
Dolores Heights,0-0 0 0:8:19.387801
Castro,0-0 0 0:8:20.673256
Inner Sunset,0-0 0 0:8:21.027913
Nob Hill,0-0 0 0:8:23.067224
Union Street,0-0 0 0:8:23.576299
Cathedral Hill,0-0 0 0:8:24.132604
Laurel Heights / Jordan Park,0-0 0 0:8:29.045058
Lower Pacific Heights,0-0 0 0:8:29.178221
North Beach,0-0 0 0:8:30.970573
Noe Valley,0-0 0 0:8:31.419330
Parnassus Heights,0-0 0 0:8:31.464511
Presidio Heights,0-0 0 0:8:33.779314
Civic Center,0-0 0 0:8:35.774348
Tenderloin,0-0 0 0:8:36.883337
Holly Park,0-0 0 0:8:37.851416
Presidio Terrace,0-0 0 0:8:38.853664
Mt. Davidson Manor,0-0 0 0:8:39.821138
Lake Street,0-0 0 0:8:41.189245
Mint Hill,0-0 0 0:8:41.349321
Anza Vista,0-0 0 0:8:42.664294
Lone Mountain,0-0 0 0:8:44.802406
Cayuga,0-0 0 0:8:47.610766
Showplace Square,0-0 0 0:8:50.374405
Russian Hill,0-0 0 0:8:51.108658
Chinatown,0-0 0 0:8:52.890047
Produce Market,0-0 0 0:8:53.446879
Excelsior,0-0 0 0:8:55.813392
Downtown / Union Square,0-0 0 0:8:57.802204
Potrero Hill,0-0 0 0:8:58.365476
South of Market,0-0 0 0:9:0.367965
Buena Vista,0-0 0 0:9:1.724045
Ashbury Heights,0-0 0 0:9:2.049852
Outer Richmond,0-0 0 0:9:2.934251
West Portal,0-0 0 0:9:6.008229
Bayview,0-0 0 0:9:6.275344
Golden Gate Park,0-0 0 0:9:10.765448
Golden Gate Heights,0-0 0 0:9:10.968430
Outer Sunset,0-0 0 0:9:11.585516
Eureka Valley,0-0 0 0:9:12.151073
Silver Terrace,0-0 0 0:9:12.638888
Sunnyside,0-0 0 0:9:12.808495
Bernal Heights,0-0 0 0:9:13.898806
Mission Terrace,0-0 0 0:9:14.069326
Apparel City,0-0 0 0:9:15.480012
Marina,0-0 0 0:9:17.269271
Central Waterfront,0-0 0 0:9:17.428003
Portola,0-0 0 0:9:17.669320
St. Marys Park,0-0 0 0:9:17.917674
Balboa Terrace,0-0 0 0:9:22.193190
Oceanview,0-0 0 0:9:22.442289
Cow Hollow,0-0 0 0:9:24.216391
Westwood Highlands,0-0 0 0:9:24.256050
Ingleside,0-0 0 0:9:25.302051
India Basin,0-0 0 0:9:25.380554
Merced Manor,0-0 0 0:9:26.144014
Ingleside Terraces,0-0 0 0:9:31.602303
Corona Heights,0-0 0 0:9:31.751375
Financial District,0-0 0 0:9:33.485766
Fairmount,0-0 0 0:9:35.620981
Stonestown,0-0 0 0:9:37.805601
Peralta Heights,0-0 0 0:9:39.668796
Dogpatch,0-0 0 0:9:40.085627
Parkside,0-0 0 0:9:40.292224
Northern Waterfront,0-0 0 0:9:43.722092
University Mound,0-0 0 0:9:44.095251
South Beach,0-0 0 0:9:44.570376
Aquatic Park / Ft. Mason,0-0 0 0:9:47.590247
Crocker Amazon,0-0 0 0:9:49.509347
St. Francis Wood,0-0 0 0:9:50.174547
Midtown Terrace,0-0 0 0:9:50.543099
Upper Market,0-0 0 0:9:51.604773
Bret Harte,0-0 0 0:9:52.435254
Outer Mission,0-0 0 0:9:54.509925
Diamond Heights,0-0 0 0:9:54.925180
Hunters Point,0-0 0 0:9:57.594541
Fishermans Wharf,0-0 0 0:9:59.024871
Glen Park,0-0 0 0:9:59.948457
Seacliff,0-0 0 0:10:1.920627
Sunnydale,0-0 0 0:10:5.346028
Forest Hill,0-0 0 0:10:6.047984
Sherwood Forest,0-0 0 0:10:6.816733
Telegraph Hill,0-0 0 0:10:8.940181
Laguna Honda,0-0 0 0:10:13.910725
Forest Knolls,0-0 0 0:10:14.196818
Miraloma Park,0-0 0 0:10:14.286206
Sutro Heights,0-0 0 0:10:15.821737
Merced Heights,0-0 0 0:10:17.791856
Mission Bay,0-0 0 0:10:18.724864
Monterey Heights,0-0 0 0:10:20.219839
Little Hollywood,0-0 0 0:10:28.059599
Rincon Hill,0-0 0 0:10:30.180243
McLaren Park,0-0 0 0:10:42.427685
Visitacion Valley,0-0 0 0:10:42.997650
Clarendon Heights,0-0 0 0:10:43.166597
Lincoln Park / Ft. Miley,0-0 0 0:11:13.384313
Parkmerced,0-0 0 0:11:16.386067
Presidio National Park,0-0 0 0:11:16.617336
Lakeshore,0-0 0 0:11:24.059825
Candlestick Point SRA,0-0 0 0:12:17.296456
Treasure Island,0-0 0 0:12:27.742103
Yerba Buena Island,0-0 0 0:15:11.812875
