neighborhood,average_response_time
Alamo Square,7.3463924836022000
Polk Gulch,7.3545022598215300
Cole Valley,7.3843656343656300
Lower Nob Hill,7.522020938390710
Inner Richmond,7.5708699902248300
Panhandle,7.572852345358030
Mission,7.59954679176274
Haight Ashbury,7.6245700838713600
Western Addition,7.6258019985254200
Duboce Triangle,7.6438474870017300
Westwood Park,7.6449341208541600
Pacific Heights,7.660314668230240
Mission Dolores,7.7440920836269700
Japantown,7.7686098061271800
Lower Haight,7.7816808929743900
Hayes Valley,7.8000758965277300
Dolores Heights,7.832078313253010
Castro,7.8557913887204400
Inner Sunset,7.8613354100914000
Nob Hill,7.8922648034441400
Union Street,7.9041714639978700
Cathedral Hill,7.9118350361790000
Laurel Heights / Jordan Park,7.9897593445980500
Lower Pacific Heights,7.99496893699737
North Beach,8.0242951017095600
Parnassus Heights,8.0297493558210400
Noe Valley,8.0308880308880300
Presidio Heights,8.0767555797495900
Civic Center,8.10412453432677
Tenderloin,8.12318281281082
Holly Park,8.1396611922927800
Presidio Terrace,8.1460761460761500
Mt. Davidson Manor,8.1672473867595800
Lake Street,8.1910548086866600
Mint Hill,8.1992935489868000
Anza Vista,8.2207848210435500
Lone Mountain,8.2541353383458600
Cayuga,8.30350672877847
Showplace Square,8.3508771929824600
Russian Hill,8.35844129243689
Chinatown,8.389059304703480
Produce Market,8.4010624169986700
Excelsior,8.4382758405589200
Downtown / Union Square,8.4740155085905400
Potrero Hill,8.4816989440788000
South of Market,8.51473550466392
Buena Vista,8.5346214292317700
Ashbury Heights,8.5487959442332100
Outer Richmond,8.55801126894691
West Portal,8.6116390712256300
Bayview,8.6142201834862400
Golden Gate Park,8.6883245554570600
Golden Gate Heights,8.6888485123779300
Outer Sunset,8.7035197385485300
Eureka Valley,8.7141184124918700
Silver Terrace,8.7190224448154300
Sunnyside,8.7195680961597200
Bernal Heights,8.7379418370965800
Mission Terrace,8.7436269430051800
Apparel City,8.7778779681394700
Marina,8.80017488149478
Portola,8.8006252605252200
St. Marys Park,8.8025581395348900
Central Waterfront,8.806822938467980
Balboa Terrace,8.8830495928941500
Oceanview,8.8850843388716900
Westwood Highlands,8.9133757961783400
Cow Hollow,8.9135432283858100
Ingleside,8.9294832826747700
India Basin,8.9317456420329000
Merced Manor,8.9452785460292400
Ingleside Terraces,9.0341650671785
Corona Heights,9.0444444444444400
Financial District,9.067469830972860
Fairmount,9.1031437654539
Stonestown,9.14186383389667
Dogpatch,9.1677554829678000
Peralta Heights,9.1681022506251700
Parkside,9.1809440876601
Northern Waterfront,9.2387391588175000
University Mound,9.2408971341547800
South Beach,9.2517776064422200
Aquatic Park / Ft. Mason,9.2989608313349300
Crocker Amazon,9.334260995825520
Midtown Terrace,9.345243412237600
St. Francis Wood,9.3543490951547
Upper Market,9.3750286894652300
Bret Harte,9.3818212824010900
Outer Mission,9.4120061080358800
Diamond Heights,9.4228230116315600
Hunters Point,9.4674314345991600
Fishermans Wharf,9.4924110763526800
Glen Park,9.5068373071528700
Seacliff,9.5355429568251200
Sunnydale,9.5997498436522800
Forest Hill,9.6051316227924000
Sherwood Forest,9.6274900398406400
Telegraph Hill,9.6503813155386100
Laguna Honda,9.7337619979498600
Forest Knolls,9.742272727272730
Miraloma Park,9.74519056261343
Sutro Heights,9.7731456415809400
Merced Heights,9.8019601899565500
Mission Bay,9.8184984984985000
Monterey Heights,9.8561215370866800
Little Hollywood,9.9676979071883500
Rincon Hill,10.008028867839400
Visitacion Valley,10.224130140081300
McLaren Park,10.225206611570200
Clarendon Heights,10.229071220324900
Lincoln Park / Ft. Miley,10.701960784313700
Parkmerced,10.779234902763600
Presidio National Park,10.797251585623700
Lakeshore,10.911203580120900
Candlestick Point SRA,11.786695589298600
Treasure Island,11.973023732286200
Yerba Buena Island,14.718429430491700
